timestamp_epoch,snow_intensity_pct,snow_rate_per_frame,vehicles_per_min,visibility_label,visibility_score
1771792809,98.5,98.5,0,Good,100.0
1771792860,184.544,-0.717,0,Good,100.0
1771792920,120.79,-0.338,6,Good,100.0
1771792980,100.627,-0.107,8,Good,100.0
1771792989,98.5,98.5,0,Good,100.0
1771793040,189.744,0.464,1,Good,100.0
1771793083,98.5,98.5,0,Good,100.0
1771793100,297.484,-0.697,2,Good,100.0
1771793160,141.999,-0.229,1,Good,100.0
1771793189,98.5,98.5,0,Good,100.0
1771793221,98.5,98.5,0,Good,100.0
1771793280,156.302,0.673,4,Good,100.0
1771793340,123.076,-0.455,8,Good,100.0
1771793400,162.752,-0.75,4,Good,100.0
1771793451,0.0,0.0,0,Good,100.0
1771793460,0.0,0.0,0,Good,100.0
1771793520,0.0,0.0,3,Good,100.0
1771793540,0.0,0.0,0,Good,100.0
1771793580,0.133,-0.014,2,Good,100.0
1771793640,0.066,0.007,2,Good,100.0
1771793701,0.0,0.0,0,Good,100.0
1771793711,0.0,0.0,0,Good,100.0
1771793774,0.0,0.0,0,Good,100.0
1771793820,0.078,-0.013,5,Good,100.0
1771793880,0.108,0.016,4,Good,100.0
1771793940,0.045,-0.012,0,Good,100.0
1771794000,0.149,-0.011,2,Good,100.0
1771794060,0.15,-0.051,3,Good,100.0
1771794120,0.0,0.0,4,Poor,4.27
1771794178,0.0,0.0,0,Good,100.0
1771794180,0.357,0.019,0,Good,100.0
1771794240,0.142,-0.053,0,Good,100.0
1771794300,0.079,0.012,4,Good,100.0
1771794360,0.064,0.005,11,Good,100.0
1771794420,0.051,-0.003,3,Good,100.0
1771794480,0.064,-0.003,2,Good,100.0
1771794540,0.05,0.0,0,Good,100.0
1771794600,0.058,0.003,4,Good,100.0
1771794660,0.068,-0.003,0,Good,100.0
1771794720,0.06,-0.0,2,Good,100.0
1771794780,0.091,-0.015,0,Good,100.0
1771794840,0.069,-0.0,1,Good,100.0
1771794900,0.09,-0.014,4,Good,100.0
1771794960,0.0,0.0,1,Poor,3.965
1771795020,0.0,0.0,0,Poor,3.974
1771795080,0.047,-0.001,4,Good,100.0
1771795140,0.07,-0.006,2,Good,100.0
1771795200,0.098,-0.009,0,Good,100.0
1771795260,0.054,-0.007,0,Good,100.0
1771795320,0.086,0.021,2,Good,100.0
1771795380,0.043,-0.001,0,Good,100.0
1771795440,0.043,0.004,3,Good,100.0
1771795500,0.05,-0.002,2,Good,100.0
1771795560,0.298,0.05,0,Good,100.0
1771795620,0.046,0.006,1,Good,100.0
1771795680,0.042,0.002,0,Good,100.0
1771795796,0.0,0.0,0,Good,100.0
1771795800,0.069,0.005,1,Good,100.0
1771795860,0.026,-0.002,0,Good,100.0
1771795920,0.033,-0.0,1,Good,100.0
1771795980,0.022,-0.008,6,Good,100.0
1771796040,0.03,-0.0,5,Good,100.0
1771796100,0.058,-0.012,1,Good,100.0
1771796160,0.053,0.005,2,Good,100.0
1771796220,0.04,-0.004,2,Good,100.0
1771796280,0.059,-0.003,2,Good,100.0
1771796340,0.131,0.015,1,Good,100.0
1771796400,0.065,-0.02,0,Good,100.0
1771796460,0.038,-0.002,4,Good,100.0
1771796520,0.093,0.009,2,Good,100.0
1771796580,0.042,-0.003,0,Good,100.0
1771796640,0.055,-0.005,4,Good,100.0
1771796700,0.072,0.025,1,Good,100.0
1771808906,0.0,0.0,0,Poor,1.498
1771808940,0.0,0.0,2,Poor,2.35
1771809109,0.0,0.0,0,Good,84.213
1771809120,0.077,0.015,0,Good,100.0
1771809180,0.076,-0.007,0,Good,100.0
1771809240,0.106,0.031,18,Good,100.0
1771809300,0.151,-0.044,0,Good,100.0
1771809360,0.101,-0.003,1,Good,100.0
1771809420,0.119,0.002,0,Good,100.0
1771809480,0.156,0.039,0,Good,100.0
1771809540,0.118,0.017,0,Good,100.0
1771809758,0.0,0.0,0,Good,91.091
1771809780,0.098,0.025,0,Good,100.0
1771809840,0.111,-0.027,0,Good,100.0
1771809900,0.116,0.016,0,Good,100.0
1771809960,0.138,0.036,0,Good,100.0
1771809967,0.0,0.0,0,Good,89.744
1771810020,0.106,-0.015,0,Good,100.0
